year,month,commodity_group,cpi_value,inflation_rate_pct
2021,6,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",107.1,2.4
2021,6,"RECREATION, SPORT AND CULTURE",104.7,-0.5
2021,6,RESTAURANTS AND ACCOMMODATION SERVICES,109.8,4.2
2021,6,TRANSPORT,111.7,10.3
2021,7,ALCOHOLIC BEVERAGES AND TOBACCO,142.2,9.3
2021,7,ALL ITEMS,108.8,3.7
2021,7,CLOTHING AND FOOTWEAR,107.1,1.9
2021,7,EDUCATION SERVICES,106.7,1.0
2021,7,FINANCIAL SERVICES,143.3,43.3
2021,7,FOOD AND NON-ALCOHOLIC BEVERAGES,107.9,3.9
2021,7,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",108.6,2.1
2021,7,HEALTH,112.6,3.9
2021,7,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",106.1,2.7
2021,7,INFORMATION AND COMMUNICATION,101.5,0.5
2021,7,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",107.4,2.3
2021,7,"RECREATION, SPORT AND CULTURE",104.8,-0.6
2021,7,RESTAURANTS AND ACCOMMODATION SERVICES,109.9,3.8
2021,7,TRANSPORT,112.8,7.1
2021,8,ALCOHOLIC BEVERAGES AND TOBACCO,142.6,9.4
2021,8,ALL ITEMS,109.4,4.4
2021,8,CLOTHING AND FOOTWEAR,107.2,1.8
2021,8,EDUCATION SERVICES,106.6,0.9
2021,8,FINANCIAL SERVICES,143.3,43.3
2021,8,FOOD AND NON-ALCOHOLIC BEVERAGES,109.2,5.5
2021,8,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",108.7,2.0
2021,8,HEALTH,112.8,3.8
2021,8,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",106.5,3.4
2021,8,INFORMATION AND COMMUNICATION,101.6,0.6
2021,8,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",107.4,2.2
2021,8,"RECREATION, SPORT AND CULTURE",105.0,1.1
2021,8,RESTAURANTS AND ACCOMMODATION SERVICES,110.2,4.0
2021,8,TRANSPORT,113.0,7.0
2021,9,ALCOHOLIC BEVERAGES AND TOBACCO,142.8,9.5
2021,9,ALL ITEMS,109.3,4.2
2021,9,CLOTHING AND FOOTWEAR,107.4,1.9
2021,9,EDUCATION SERVICES,107.2,0.7
2021,9,FINANCIAL SERVICES,143.3,43.3
2021,9,FOOD AND NON-ALCOHOLIC BEVERAGES,108.7,5.0
2021,9,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",109.1,2.2
2021,9,HEALTH,113.0,3.8
2021,9,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",106.8,3.8
2021,9,INFORMATION AND COMMUNICATION,101.7,0.7
2021,9,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",107.6,2.2
2021,9,"RECREATION, SPORT AND CULTURE",105.2,1.6
2021,9,RESTAURANTS AND ACCOMMODATION SERVICES,110.3,4.0
2021,9,TRANSPORT,113.1,5.6
2021,10,ALCOHOLIC BEVERAGES AND TOBACCO,143.1,8.7
2021,10,ALL ITEMS,109.5,4.0
2021,10,CLOTHING AND FOOTWEAR,107.5,1.9
2021,10,EDUCATION SERVICES,107.3,0.7
2021,10,FINANCIAL SERVICES,143.3,43.3
2021,10,FOOD AND NON-ALCOHOLIC BEVERAGES,108.2,3.7
